
=== START 2026-03-09 23:56:19 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXNHLTOTAL-26MAR09NYRPHI-6 --yes-budget-cents 500 --no-budget-cents 500
23:56:19 INFO START | environment=PROD ticker=KXNHLTOTAL-26MAR09NYRPHI-6 yes_budget_cents=500 no_budget_cents=500 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
00:00:35 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:00:36 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:00:43 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:00:51 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:00:51 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=0.00
00:00:53 INFO AMEND_OK | side=yes price_dollars=0.5200 total_fillable_contracts=9.00 order_id=58aa1242-e952-408d-976c-66e1e85d3fc1
00:00:54 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=9.00 order_id=58aa1242-e952-408d-976c-66e1e85d3fc1
00:00:54 INFO AMEND_OK | side=no price_dollars=0.4000 total_fillable_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:01:06 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:01:06 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:01:21 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:01:21 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:01:36 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:01:36 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:01:51 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:01:51 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:02:06 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:02:06 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:02:21 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:02:21 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:02:36 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:02:36 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:02:51 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:02:51 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:03:06 INFO AMEND_OK | side=yes price_dollars=0.5200 total_fillable_contracts=9.00 order_id=58aa1242-e952-408d-976c-66e1e85d3fc1
00:03:06 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=0.00
